Medication_Name,Package_Size,Max_Retailer_Price,Max_Consumer_Price,Max_Consumer_VAT_Price,Year
ALFUZOSIN WINTHROP XL 10MG 30 TAB,30.00,$57.67,$77.56,$89.98,2012
ALKERAN  2MG 25 TABS,25.00,$18.34,$25.13,$29.15,2012
ALKERAN INJ 50MG/10ML,1.00,$128.90,$161.13,$186.91,2012
ALLEGRO NASAL SPRAY 15ML (120DOSES),120.00,$37.82,$51.82,$60.11,2012
ALLORIL 100MG 50TAB,50.00,$8.36,$11.45,$13.29,2012
ALLORIL 300MG 20TAB,20.00,$7.22,$9.89,$11.47,2012
ALOMIDE 10ML,10.00,$31.19,$42.73,$49.57,2012
ALPHA D3 0.25MCG 30CAP,30.00,$20.46,$28.03,$32.52,2012
ALPHA D3 0.25MCG 50CAP,50.00,$34.10,$46.72,$54.19,2012
ALPHA D3 1MCG 30CAP,30.00,$52.99,$71.27,$82.67,2012
ALPHA D3 1MCG 50CAP,50.00,$88.31,$118.78,$137.78,2012
ALPRALID 0.25MG 30TAB,30.00,$6.48,$8.88,$10.30,2012
ALPRALID 0.50MG 30TAB,30.00,$10.16,$13.92,$16.15,2012
ALPRALID 1MG 30TAB,30.00,$16.76,$22.95,$26.63,2012
ALPROX 0.25MG 30TAB,30.00,$6.48,$8.88,$10.30,2012
ALPROX 0.50MG 30TAB,30.00,$10.16,$13.92,$16.15,2012
ALPROX 1MG 30TAB,30.00,$16.76,$22.95,$26.63,2012
ALVESCO 160MCG 60 ACT SOL  FOR INH,60.00,$122.17,$152.72,$177.15,2012
AMARYL 1MG 30TAB,30.00,$10.98,$15.04,$17.44,2012
AMARYL 2MG 30TAB,30.00,$15.75,$21.58,$25.03,2012
AMARYL 3MG 30TAB,30.00,$22.71,$31.11,$36.09,2012
AMARYL 4MG 30TAB,30.00,$27.79,$38.07,$44.16,2012
AMIODACORE 200MG 30TAB,30.00,$20.76,$28.44,$32.99,2012
AMIODACORE INJECTION 150MG/3ML 6X3AMP,6.00,$13.72,$18.80,$21.81,2012
AMLODIPINE PHARMASWISS 10 MG 20TAB,20.00,$17.59,$24.10,$27.96,2012
AMLODIPINE PHARMASWISS 5 MG 20TAB,20.00,$10.27,$14.08,$16.33,2012
AMLODIPINE TEVA 10MG 20TAB,20.00,$17.59,$24.10,$27.96,2012
AMLODIPINE TEVA 5MG 20TAB,20.00,$10.27,$14.08,$16.33,2012
AMLOW 10MG 20TAB,20.00,$17.59,$24.10,$27.96,2012
AMLOW 5MG 20TAB,20.00,$10.27,$14.08,$16.33,2012
AMOXICLAV TEVA 875MG 14TAB,14.00,$29.93,$41.01,$47.57,2012
AMOXICLAV-TEVA 250 SUSP 100ML,100.00,$18.08,$24.77,$28.73,2012
AMOXICLAV-TEVA 250MG 20TAB,20.00,$20.87,$28.59,$33.16,2012
AMOXICLAV-TEVA 500 20TAB,20.00,$27.58,$37.79,$43.84,2012
ANAFRANIL 25MG 30TAB,30.00,$10.37,$14.21,$16.49,2012
ANAFRANIL SR 75MG 20TAB,20.00,$22.90,$31.37,$36.39,2012
ANASTROL 1MG 30TAB,30.00,$259.33,$304.72,$353.47,2012
ANASTROZOLE 1MG 30TAB,30.00,$259.33,$304.72,$353.47,2012
ANASTROZOLE INOVAMED 1MG 30TAB,30.00,$259.33,$304.72,$353.47,2012
ANDROCUR 10MG 15TAB,15.00,$22.02,$30.17,$35.00,2012
ANDROCUR 50MG 50TAB,50.00,$144.21,$180.26,$209.10,2012
ANDROGEL 25MG 30SACHX2.5G,30.00,$237.21,$278.72,$323.32,2012
ANDROGEL 50MG 30SACHX5G,30.00,$218.02,$256.17,$297.16,2012
ANDROXON 40MG 30CAP,30.00,$35.80,$49.04,$56.89,2012
ANGELIQ 1X28TAB,28.00,$67.94,$91.38,$106.00,2012
APIDRA 100 IU/ML CART 5X3ML,15.00,$146.33,$182.92,$212.18,2012
APIDRA OPTISET/SOLOSTAR PREFILLED PEN 5X3ML,15.00,$154.61,$193.26,$224.18,2012
APIDRA VIAL 1X10ML,10.00,$87.97,$118.32,$137.25,2012
APO GO PEN 10MG/ML 5X3ML,5.00,$655.23,$769.90,$893.08,2012
APO-GO 10MG/ML 5AMPX2ML,5.00,$221.56,$260.33,$301.99,2012
APO-GO 10MG/ML 5AMPX5ML,5.00,$256.77,$301.71,$349.98,2012
APOVENT SOL 20ML,20.00,$22.04,$30.20,$35.03,2012
AQUADON 100MG 20TAB,20.00,$5.81,$7.97,$9.24,2012
AQUIMOD CREAM 5 % 12SACHET (0.25G),12.00,$285.30,$335.23,$388.86,2012
ARAGEST 2.5MG 30TAB,30.00,$10.73,$14.71,$17.06,2012
ARAGEST 5MG 30TAB,30.00,$12.12,$16.60,$19.26,2012
ARANESP 100MCG 4 PREFILLED SYR 0.5ML,4.00,"$3,769.12","$4,428.72","$5,137.31",2012
ARANESP 100MCG PREFILLED PEN 1X0.5ML,1.00,$945.44,"$1,110.89","$1,288.64",2012
ARANESP 10MCG 4 PREFILLED SYR 0.4ML,4.00,$387.27,$455.04,$527.84,2012
ARANESP 150MCG 4 PREFILLED SYR 0.3ML,4.00,"$5,458.15","$6,413.33","$7,439.46",2012
ARANESP 150MCG PREFILLED PEN 1X0.3ML,1.00,"$1,388.97","$1,632.03","$1,893.16",2012
ARANESP 20MCG 4 PREFILLED SYR 0.5ML,4.00,$629.14,$739.24,$857.52,2012
ARANESP 20MCG PREFILLED PEN 1X0.5ML,1.00,$179.30,$224.13,$259.99,2012
ARANESP 300MCG PREFILLED PEN 1X0.6ML,1.00,"$2,725.80","$3,202.81","$3,715.26",2012
ARANESP 30MCG 4 PREFILLED SYR 0.3ML,4.00,"$1,153.49","$1,355.35","$1,572.21",2012
ARANESP 40MCG PREFILLED PEN 1X0.4ML,1.00,$383.85,$451.03,$523.19,2012
ARANESP 500MCG PREFILLED PEN 1X1ML,1.00,"$4,409.44","$5,181.09","$6,010.07",2012
ARANESP 50MCG 4 PREFILLED SYR 0.5ML,4.00,"$2,014.98","$2,367.60","$2,746.42",2012
ARANESP 50MCG PREFILLED PEN 1X0.5ML,1.00,$555.69,$652.93,$757.40,2012
ARANESP 60MCG 4 PREFILLED SYR 0.3ML,4.00,"$2,289.93","$2,690.67","$3,121.17",2012
ARANESP 60MCG PREFILLED PEN 1X0.3ML,1.00,$573.26,$673.58,$781.36,2012
ARANESP 80MCG 4 PREFILLED SYR 0.4ML,4.00,"$3,047.67","$3,581.02","$4,153.98",2012
ARANESP 80MCG PREFILLED PEN 1X0.4ML,1.00,$759.87,$892.84,"$1,035.70",2012
ARAVA 100MG 3TAB,3.00,$149.61,$187.02,$216.94,2012
ARAVA 10MG 30TAB,30.00,$233.35,$274.18,$318.05,2012
ARAVA 20MG 30TAB,30.00,$257.71,$302.80,$351.25,2012
ARCOXIA 120MG 7TAB,7.00,$36.13,$49.50,$57.42,2012
ARCOXIA 30MG 28TAB,28.00,$82.96,$111.58,$129.44,2012
ARCOXIA 60MG 10TAB,10.00,$35.59,$48.76,$56.56,2012
ARCOXIA 90MG 10TAB,10.00,$36.76,$50.36,$58.42,2012
AREDIA VIAL 90MG PWDR 10ML SOLV,1.00,$605.71,$711.71,$825.59,2012
AREDIA VIALS 2X30MG + 2x10ML SOLV,2.00,$539.36,$633.75,$735.15,2012
ARICEPT 10MG 28TAB,28.00,$282.76,$332.24,$385.40,2012
ARICEPT 5MG 28TAB,28.00,$250.07,$293.83,$340.84,2012
ARIMIDEX 1MG 28TAB,28.00,$242.04,$284.40,$329.90,2012
ARIXTRA 10MG/0.8ML 10 PREFIL SYR,10.00,$801.49,$941.75,"$1,092.43",2012
ARIXTRA 2.5MG/0.5ML 10 PREFIL SYR,10.00,$367.97,$432.36,$501.54,2012
ARIXTRA 7.5MG/0.6ML 10 PREFIL.SYRINGE,10.00,$801.49,$941.75,"$1,092.43",2012
AROMASIN 25MG 30TAB,30.00,$376.96,$442.93,$513.80,2012
ART 50 50MG 30CAPS,30.00,$47.11,$63.36,$73.50,2012
ARTHROTEC 50 20TAB,20.00,$27.90,$38.23,$44.34,2012
ARTHROTEC 75 20TAB,20.00,$34.32,$47.02,$54.54,2012
ARTHRYL 1500MG 30 SACHETS,30.00,$53.62,$72.12,$83.66,2012
ASACOL 400MG 100TAB,100.00,$124.90,$156.12,$181.10,2012
ASACOL 800MG 60TAB,60.00,$191.47,$239.33,$277.63,2012
ASENTA 10MG 28TAB,28.00,$282.76,$332.24,$385.40,2012
ASENTA 5MG 28TAB,28.00,$250.07,$293.83,$340.84,2012
ASSIVAL 10MG 30TAB,30.00,$8.09,$11.08,$12.85,2012
ASSIVAL 10MG/2ML 5AMP,5.00,$11.90,$16.31,$18.92,2012
ASSIVAL 2MG 30TAB,30.00,$3.62,$4.96,$5.75,2012
ASSIVAL 5MG 30TAB,30.00,$5.49,$7.52,$8.72,2012
ATACAND 16MG 28TAB,28.00,$86.45,$116.28,$134.88,2012
ATACAND 8MG 28TAB,28.00,$74.35,$99.99,$115.99,2012
ATACAND PLUS 28TAB,28.00,$88.34,$118.81,$137.82,2012
ATORVASTATIN TEVA 10MG 30TAB,30.00,$60.10,$80.83,$93.77,2012
ATORVASTATIN TEVA 20MG 30TAB,30.00,$103.01,$128.77,$149.37,2012
ATORVASTATIN TEVA 40MG 30TAB,30.00,$148.22,$185.28,$214.92,2012
ATORVASTATIN TEVA 80MG 30TAB,30.00,$185.40,$231.75,$268.83,2012
ATOSIBAN 7.5MG/ML 0.9ML(6.75MG),0.90,$123.79,$154.74,$179.50,2012
ATOSIBAN 7.5MG/ML 5ML (37.5MG),5.00,"$2,172.20","$2,552.34","$2,960.71",2012
ATRIANCE 5MG/ML INJ 6X50ML VIALS,6.00,"$9,295.46","$10,922.17","$12,669.72",2012
ATRIPLA 30TAB,30.00,"$3,722.20","$4,373.59","$5,073.37",2012
ATROSPAN DRPS 1%10CC,10.00,$14.01,$19.20,$22.27,2012
ATROVENT INHALER 20MCG 200DOSES,200.00,$25.44,$34.85,$40.43,2012
ATZIRUT X 30 TAB,30.00,$14.68,$20.11,$23.33,2012
AUGMENTIN 1.2G 10VIALS,10.00,$122.04,$152.55,$176.96,2012
AUGMENTIN 125MG 100ML,100.00,$11.20,$15.34,$17.80,2012
AUGMENTIN 250MG 20T,20.00,$20.87,$28.59,$33.16,2012
AUGMENTIN 250MG100ML,100.00,$18.08,$24.77,$28.73,2012
AUGMENTIN 400MG SUSP 35ML,35.00,$9.77,$13.39,$15.53,2012
AUGMENTIN 400MG SUSP 70ML,70.00,$19.54,$26.78,$31.06,2012
AUGMENTIN 500MG 10VIALS,10.00,$61.14,$82.24,$95.40,2012
AUGMENTIN 500MG 20TAB,20.00,$27.58,$37.79,$43.84,2012
"AUGMENTIN B.I.D ""875""MG 14TAB",14.00,$29.93,$41.01,$47.57,2012
AVAMYS 27.5MCG/DOSE 120DOSES,120.00,$43.26,$58.18,$67.49,2012
AVANDIA 4MG 28TAB,28.00,$86.01,$115.68,$134.19,2012
AVANDIA 8MG 28TAB,28.00,$172.02,$215.02,$249.43,2012
AVASTIN 100MG 25MG/ML VIAL 4ML,1.00,"$1,607.62","$1,888.96","$2,191.19",2012
AVASTIN 400MG 25MG/ML VIAL 16ML,1.00,"$6,129.34","$7,201.98","$8,354.29",2012
AVAXIM INJ SOL 1X0.5ML,1.00,$119.07,$148.83,$172.65,2012
AVODART 0.5MG 30CAPS,30.00,$137.89,$172.36,$199.94,2012
AVONEX 4X30MCG/ML SYRINGE,4.00,"$3,998.47","$4,698.20","$5,449.91",2012
AZARGA 5ML,5.00,$64.70,$87.02,$100.94,2012
AZENIL 200MG 15ML,15.00,$20.63,$28.26,$32.78,2012
AZENIL 200MG 22.5ML,22.50,$30.94,$42.39,$49.18,2012
AZENIL 250MG 6CAPSULES,6.00,$24.24,$33.20,$38.52,2012
AZILECT 1MG 30TAB,30.00,$468.34,$550.31,$638.35,2012
AZITHROMYCIN TEVA 200MG/5ML 15ML,15.00,$20.63,$28.26,$32.78,2012
AZITHROMYCIN TEVA 200MG/5ML 22.5ML,22.50,$30.94,$42.39,$49.18,2012
AZOPI 50MG 100TAB,100.00,$88.10,$118.49,$137.45,2012
BACLOSAL 10MG 50TAB,50.00,$18.50,$25.35,$29.41,2012
BACLOSAL 25MG 50TAB,50.00,$33.26,$45.56,$52.85,2012
BACTROBAN 15GR OINT,15.00,$23.77,$32.56,$37.77,2012
BACTROBAN NASAL 3GR,3.00,$28.60,$39.18,$45.45,2012
BARACLUDE 0.5 MG 30 F.C. TABS,30.00,"$2,140.75","$2,515.38","$2,917.84",2012
BARACLUDE 1 MG 30 F.C. TABS,30.00,"$2,284.27","$2,684.02","$3,113.46",2012
BEDODEKA 100AMP,100.00,$134.83,$168.54,$195.50,2012
BELARA 1X21TAB,21.00,$42.38,$57.00,$66.12,2012
BELARA 3X21TAB,63.00,$127.15,$158.93,$184.36,2012
BENAZEPRIL-TEVA 10MG 30TAB,30.00,$38.17,$51.35,$59.56,2012
BENAZEPRIL-TEVA 20MG 30TAB,30.00,$73.89,$99.39,$115.29,2012
BENAZEPRIL-TEVA 5MG 30TAB,30.00,$26.18,$35.86,$41.60,2012
BENEFIX 1000IU/VIAL I.V 1 VIAL,1.00,"$3,558.77","$4,181.56","$4,850.61",2012
BENEFIX 2000IU/VIAL I.V 1 VIAL,1.00,"$7,101.21","$8,343.93","$9,678.95",2012
BENEFIX 250IU/VIAL I.V 1 VIAL,1.00,$907.48,"$1,066.29","$1,236.90",2012
BENEFIX 500 IU/VIAL I.V 1 VIAL,1.00,"$1,787.58","$2,100.40","$2,436.47",2012
BENZALIN GEL TOPICAL 25G,25.00,$64.66,$86.97,$100.88,2012
BERINERT 500U/VIAL POWDER FOR SOL FOR INJ/INF,1.00,"$2,549.27","$2,995.40","$3,474.66",2012
BETACAP 0.1% 100ML,100.00,$27.93,$38.26,$44.39,2012
BETACORTEN CREAM 15G,15.00,$5.45,$7.47,$8.66,2012
BETACORTEN DILUTED CREAM 15G,15.00,$2.76,$3.78,$4.38,2012
BETACORTEN DILUTED CREAM 40G,40.00,$7.36,$10.08,$11.69,2012
BETACORTEN OINT 15GR,15.00,$5.12,$7.01,$8.14,2012
BETACORTEN TOPICAL SCALP  APPL SOL 30ML,30.00,$8.38,$11.48,$13.32,2012
BETAFERON 0.3MG/VIAL 15VIAL+SYR,15.00,"$4,009.41","$4,711.06","$5,464.83",2012
BETAREN 100MG 10 S.R.TAB,10.00,$8.57,$11.75,$13.63,2012
BETAREN 100MG 20 S.R.TAB,20.00,$17.15,$23.49,$27.25,2012
BETISTINE 16MG 30TAB,30.00,$13.74,$18.82,$21.83,2012
BETNESOL 0.50MG 30TAB,30.00,$9.20,$12.60,$14.62,2012
BETNOVATE CREAM 15G,15.00,$5.45,$7.47,$8.66,2012
BETNOVATE OINT 15G,15.00,$5.12,$7.01,$8.14,2012
BETNOVATE TOPICAL SCALP APPL SOL 30ML,30.00,$8.38,$11.48,$13.32,2012
BETOPTIC S 5ML 0.25%,5.00,$20.11,$27.56,$31.96,2012
BEZAFIBRATE 400MG 30 SR TAB,30.00,$27.79,$38.07,$44.16,2012
BICALUTAMIDE TEVA 150MG 30TAB,30.00,$713.60,$838.48,$972.64,2012
BICALUTAMIDE TEVA 50MG 30TAB,30.00,$281.52,$330.79,$383.71,2012
BICAMIDE 150MG 30F.C TAB,30.00,$713.60,$838.48,$972.64,2012
BIFONAZOLE CREAM 1% 15GR,15.00,$19.72,$27.02,$31.35,2012
BIFONAZOLE TEVA CREAM 15GR,15.00,$19.72,$27.02,$31.35,2012
BIO TROPIN 10MG VIAL,1.00,"$1,170.52","$1,375.36","$1,595.42",2012
BIODROXIL 125MG/5ML SUSP 60 ML,60.00,$6.76,$9.26,$10.75,2012
BIODROXIL 250MG/5ML SUSP 60 ML,60.00,$11.61,$15.91,$18.45,2012
BIODROXIL 500 MG 12 CAPSULES,12.00,$17.14,$23.48,$27.24,2012
BIO-TROPIN 4MG (12 IU) VIAL,1.00,$537.97,$632.11,$733.25,2012
BLASTOVIN 1VIAL 10MG/10ML,1.00,$47.20,$63.49,$73.64,2012
BLEOMYCIN PFI 15000 IU/VIAL 10 VIALS,10.00,$984.71,"$1,157.04","$1,342.17",2012
BONDORMIN 0.25MG 10TAB,10.00,$9.76,$13.38,$15.52,2012
BONEFOS 800MG 30TAB,30.00,$424.64,$498.96,$578.79,2012
BONSERIN 30MG 20TAB,20.00,$13.59,$18.62,$21.60,2012
BOOSTRIX SUSP FOR INJ PREFIL SYR 0.5ML,1.00,$68.15,$91.66,$106.33,2012
BOTOX 100 1VIAL,1.00,$951.14,"$1,117.59","$1,296.41",2012
BRAVELLE 75IU 10AMP,10.00,$766.54,$900.68,"$1,044.79",2012
BREXIN 20MG 10 SACHETS WATER SOLUBLE POWDER,10.00,$17.26,$23.64,$27.42,2012
BREXIN 20MG 20 SACHETS WATER SOLUBLE POWDER,20.00,$34.51,$47.28,$54.84,2012
BREXIN 20MG 20TAB,20.00,$24.19,$33.14,$38.44,2012
BRICALIN ELIXIR 115ML,115.00,$6.45,$8.84,$10.25,2012
BRICALIN TURBUHALER 200DOSES,200.00,$41.48,$55.79,$64.72,2012
BRIDION 10X2ML VIALS,10.00,"$3,776.12","$4,436.95","$5,146.86",2012
BRIDION 10X5ML VIALS,10.00,"$9,624.70","$11,309.02","$13,118.47",2012
BRILINTA 90MG 168 TAB,168.00,$956.05,"$1,123.36","$1,303.10",2012
BRILINTA 90MG 56TAB,56.00,$318.68,$374.45,$434.37,2012
BROTIZOLAM-TEVA 0.25MG 10TAB,10.00,$9.76,$13.38,$15.52,2012
BUDESON 3MG 100CAPS,100.00,$396.84,$466.29,$540.89,2012
BUDESONIDE STERINEBS TEVA 0.5MG/2ML 20UNITS,20.00,$98.81,$123.52,$143.28,2012
BUDESONIDE STERINEBS TEVA 1MG/2ML 20UNITS,20.00,$114.01,$142.51,$165.32,2012
BUDICORT RESP1MG/2ML 20UNITS,20.00,$114.01,$142.51,$165.32,2012
BUDICORT RESPULES 0.5MG/2ML 20UNITS,20.00,$98.81,$123.52,$143.28,2012
BUDICORT TURBUHALER 100MCG/DOSE 200 DOSES,200.00,$70.60,$94.96,$110.15,2012
BUDICORT TURBUHALER 200MCG/DOSE 100DOSES,100.00,$60.67,$81.60,$94.66,2012
BUTRANS  20MG 2PATCHES,2.00,$252.69,$296.91,$344.41,2012
BUTRANS 10MG 2PATCHES,2.00,$141.74,$177.17,$205.52,2012
BUTRANS 5MG 2PATCHES,2.00,$76.15,$102.42,$118.81,2012
BYETTA 10MCG 2.4ML,1.00,$446.96,$525.17,$609.20,2012
BYETTA 5MCG 1.2ML,1.00,$428.49,$503.48,$584.03,2012
CABASER 1MG 20TAB,20.00,$73.94,$99.45,$115.37,2012
CABASER 2MG 20TAB,20.00,$146.74,$183.43,$212.78,2012
CABOTRIM 0.5MG 2TAB,2.00,$43.88,$59.01,$68.46,2012
CABOTRIM 0.5MG 8TAB,8.00,$175.51,$219.38,$254.49,2012
"CABOTRIM 1MG 30TAB
CABOTRIM 1MG 30TAB",30.00,$110.92,$138.64,$160.83,2012
CABOTRIM 2MG 30TAB,30.00,$220.12,$258.64,$300.02,2012
CADEX 1MG 30TAB,30.00,$16.28,$22.30,$25.87,2012
CADEX 2MG 30CAPL,30.00,$13.22,$18.10,$21.00,2012
CADEX 4MG 30CAPL,30.00,$20.43,$27.99,$32.47,2012
CAFERGOT 20TAB,20.00,$10.06,$13.79,$15.99,2012
CALCIPOTRIOL TEVA 50 MCG/G OINT 100GR,100.00,$110.62,$138.28,$160.40,2012
CALCIPOTRIOL TEVA 50 MCG/G OINT 30GR,30.00,$33.19,$45.46,$52.74,2012
CAMPTO 100MG/5ML IV SOL FOR INF,1.00,$526.07,$618.13,$717.03,2012
CAMPTO 300MG IV SOL FOR INF,1.00,"$1,537.51","$1,806.57","$2,095.62",2012
CAMPTO 40MG/2ML IV SOL FOR INF,1.00,$213.56,$250.93,$291.08,2012
CAPTOPRIL 12.5MG 90TAB,90.00,$20.07,$27.50,$31.90,2012
CAPTOPRIL 25MG 90TAB,90.00,$35.42,$48.53,$56.30,2012
CAPTOPRIL 50MG 90TAB,90.00,$63.70,$85.68,$99.39,2012
CARDILOC 10MG 30TAB,30.00,$18.05,$24.72,$28.68,2012
CARDILOC 2.5MG 30TAB,30.00,$20.87,$28.59,$33.17,2012
CARDILOC 5MG 30TAB,30.00,$10.50,$14.39,$16.69,2012
CARDIOXANE 500MG VIAL PWDR FOR INFUS,1.00,$509.60,$598.78,$694.59,2012
CARDORAL 1MG 30TAB,30.00,$16.28,$22.30,$25.87,2012
CARDORAL 2MG 30TAB,30.00,$13.22,$18.10,$21.00,2012
CARDORAL 4MG 30TAB,30.00,$20.43,$27.99,$32.47,2012
CARDOXIN AMPOULES 10MG/2ML 50AMP,50.00,$47.04,$63.27,$73.39,2012
CARDOXIN FRTE 75MG 100TAB,100.00,$19.97,$27.36,$31.74,2012
CARTEOL LP 1% 30 SINGLE DOSE UNIT (0.2 ML),30.00,$30.67,$42.02,$48.75,2012
CARTEOL LP 1% 3ML,3.00,$21.35,$29.26,$33.94,2012
CARTEOL LP 2% 30 SINGLE DOSE UNIT (0.2 ML),30.00,$30.67,$42.02,$48.75,2012
CARTEOL LP 2% 3ML,3.00,$17.75,$24.32,$28.21,2012
CARVEDEXXON 12.5MG 30TAB,30.00,$19.89,$27.25,$31.60,2012
CARVEDEXXON 6.25MG 30TAB,30.00,$15.22,$20.86,$24.20,2012
CARVEDILOL TEVA 12.5MG 30TAB,30.00,$19.89,$27.25,$31.60,2012
CARVEDILOL TEVA 6.25MG 30TAB,30.00,$15.22,$20.86,$24.20,2012
CASODEX 150MG 28TAB,28.00,$666.03,$782.59,$907.80,2012
